threshold,accuracy,balanced_accuracy,f1_macro,recall_safe,recall_unsafe
0.475,0.73685,0.6054538145567125,0.6047408288310789,0.9577979780322233,0.25310965108120176
0.48,0.73668,0.6062049723674754,0.6059812774692827,0.9560790140721965,0.25633093066275436
0.485,0.73698,0.6074197507835201,0.607779907517073,0.9548407773213298,0.2599987242457103
0.49,0.73706,0.6084742867965113,0.6093807111395322,0.9532820557643563,0.2636665178286662
0.495,0.73715,0.6096573911174907,0.6111555282645564,0.9515339568219561,0.26778082541302545
0.5,0.73703,0.6106182313167846,0.6126313918777677,0.9495964804941293,0.27163998213943996
0.505,0.73679,0.6114223611047327,0.6138858755515855,0.9476007342015558,0.27524398800790967
0.51,0.73643,0.6121130963964763,0.6149855692166678,0.9454738804883023,0.27875231230465014
0.515,0.73613,0.612899513259949,0.6161934564782395,0.9433470267750488,0.28245199974484914
0.52,0.73616,0.6140908942055379,0.6178922168729237,0.9414241179384086,0.286757670472667
0.525,0.73617,0.6152850340259964,0.6195761709728327,0.9394429391370218,0.291127128914971
0.53,0.73645,0.6167884563568418,0.621619018356122,0.9376657052122483,0.29591120750143524
0.535,0.73636,0.6180050537346774,0.6233021885000924,0.9353786090959415,0.3006314983734133
0.54,0.73609,0.6191165332409176,0.6248429013657208,0.9327855956647146,0.30544747081712065
0.545,0.73573,0.620327059514354,0.6264978753311075,0.9297846924802611,0.3108694265484468
0.55,0.73532,0.6217177466355289,0.6283571887467136,0.9263467645602075,0.3170887287108503
0.555,0.73502,0.6233531554357665,0.6304748189395643,0.9227922967106605,0.3239140141608726
0.56,0.73418,0.6244046519473435,0.6318481776741568,0.9187716691431401,0.33003763475154685
0.565,0.73378,0.6265996356527075,0.634551949686516,0.9140080995250998,0.3391911717803151
0.57,0.73265,0.6281849372825041,0.6364577976818251,0.9083122104711127,0.3480576640938955
0.575,0.73173,0.6301397771454661,0.6387106778838556,0.9025580514523789,0.3577215028385533
0.58,0.73054,0.6319672613416338,0.64072,0.8962940302421117,0.3676404924411558
0.585,0.72897,0.6336045950355369,0.6424057984279637,0.8893307694548844,0.3778784206161893
0.59,0.7272,0.6354947602368712,0.6442393064993005,0.8814060542493372,0.3895834662244052
0.595,0.72559,0.6369037057387521,0.6454932345740141,0.8747195757946566,0.3990878356828475
0.6,0.72365,0.6381415931002786,0.6464569723996888,0.8674358302013228,0.40884735599923455
0.605,0.72222,0.6397769410361499,0.6478058417288971,0.8608513241849489,0.4187025578873509
0.61,0.72028,0.6411707656921843,0.648761727930286,0.8533053637502549,0.4290361676341137
0.615,0.7182,0.642176732869981,0.6492623999971491,0.8460361856481077,0.43831728009185433
0.62,0.71665,0.6438026445059861,0.6503581565015822,0.8391457623168138,0.44845952669515854
0.625,0.71431,0.6446365606644127,0.6505212205039728,0.8314686944614399,0.4578044268673853
0.63,0.71243,0.6460654246109788,0.6512321047457641,0.8240247064650525,0.46810614275690504
0.635,0.70984,0.6466652680314027,0.6510153104807959,0.8160708562771319,0.4772596797856733
0.64,0.70721,0.6479896733929077,0.6512909453889958,0.8067913643912246,0.4891879823945908
0.645,0.70398,0.6489723490321231,0.6510326370781903,0.7964775806310637,0.5014671174331824
